256 bit delayed
Ten Fold with Depth 4, initial sobolIdx 1, delay 1.
  1,  9969, 0.326, 255.745
  2, 10386, 0.190, 255.317
  3,  9944, 0.148, 255.093
  4,  9813, 0.134, 254.931
  5, 10020, 0.135, 254.819
  6, 10196, 0.132, 253.714
  7, 10058, 0.098, 250.242
  8, 10078, 0.065, 235.460
  9,  9565, 0.038, 198.098
 10,   395, 0.069, 140.777

Ten Fold with Depth 1, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9579, 1.252, 253.764
  1,  9969, 0.476, 251.650
  2, 10096, 0.362, 254.722
  3,  9994, 0.257, 254.053
  4,  9821, 0.167, 251.425
  5, 10047, 0.133, 250.008
  6, 10209, 0.114, 248.625
  7,  9956, 0.094, 240.741
  8, 10220, 0.067, 228.606
  9,  9736, 0.037, 190.072
 10,   373, 0.002, 141.429

