Ten Fold with Depth 4, initial sobolIdx 1, delay 0.
  9, 18707, 0.043, 240.238
 10,   377, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   780, 2.897, 256.000
  1,  3162, 1.249, 256.000
  2,  5110, 0.741, 256.000
  3,  6567, 0.480, 256.000
  4,  9019, 0.374, 256.000
  5, 11434, 0.186, 256.000
  6, 12733, 0.105, 256.000
  7, 14739, 0.061, 253.237
  8, 17358, 0.024, 131.742
  9, 18711, 0.012, 143.781
 10,   387, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   787, 3.318, 256.000
  1,  3113, 1.798, 256.000
  2,  5080, 0.781, 256.000
  3,  6601, 0.479, 256.000
  4,  8789, 0.328, 256.000
  5, 11427, 0.187, 256.000
  6, 12766, 0.096, 254.467
  7, 14968, 0.043, 241.431
  8, 17268, 0.023, 149.484
  9, 18798, 0.023, 141.901
 10,   403, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   757, 3.194, 256.000
  1,  3013, 1.380, 256.000
  2,  5198, 0.610, 256.000
  3,  6658, 0.390, 256.000
  4,  9112, 0.341, 256.000
  5, 11080, 0.189, 256.000
  6, 12768, 0.121, 256.000
  7, 14822, 0.084, 248.783
  8, 17267, 0.038, 125.118
  9, 18913, 0.017, 164.549
 10,   412, 0.000, 256.000



Ten Fold with Depth 4, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   768, 0.209, 168.883
  1,  3152, 0.558, 256.000
  2,  5234, 0.378, 256.000
  3,  6694, 0.177, 229.584
  4,  8942, 0.043, 175.149
  5, 11391, 0.023, 94.505
  6, 12885, 0.038, 142.623
  7, 14854, 0.045, 153.525
  8, 17030, 0.018, 37.146
  9, 18634, 0.014, 33.828
 10,   416, 0.000, 36.000

Ten Fold with Depth 4, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   768, 5.663, 256.000
  1,  3132, 2.331, 256.000
  2,  5097, 1.089, 256.000
  3,  6635, 0.605, 256.000
  4,  8964, 0.338, 256.000
  5, 11463, 0.179, 256.000
  6, 12845, 0.090, 255.757
  7, 14858, 0.034, 252.243
  8, 17055, 0.016, 194.246
  9, 18824, 0.012, 94.338
 10,   359, 0.000, 36.000

Ten Fold with Depth 4, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   797, 2.466, 256.000
  1,  3123, 0.929, 256.000
  2,  5127, 0.317, 256.000
  3,  6588, 0.302, 256.000
  4,  8992, 0.182, 255.387
  5, 11328, 0.076, 254.745
  6, 12957, 0.061, 253.811
  7, 14757, 0.052, 249.536
  8, 17121, 0.022, 199.721
  9, 18793, 0.014, 81.379
 10,   417, 0.000, 38.000

Ten Fold with Depth 4, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   739, 2.346, 256.000
  1,  3064, 1.375, 256.000
  2,  5083, 1.068, 256.000
  3,  6563, 0.589, 256.000
  4,  9089, 0.351, 256.000
  5, 11304, 0.198, 256.000
  6, 12853, 0.083, 254.799
  7, 14927, 0.041, 252.240
  8, 17307, 0.016, 211.022
  9, 18705, 0.013, 95.115
 10,   366, 0.000, 38.000

Ten Fold with Depth 4, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   857, 1.489, 256.000
  1,  3185, 0.945, 256.000
  2,  5133, 0.311, 256.000
  3,  6612, 0.308, 256.000
  4,  8983, 0.231, 256.000
  5, 11445, 0.159, 256.000
  6, 12800, 0.125, 256.000
  7, 14806, 0.089, 256.000
  8, 17078, 0.059, 234.273
  9, 18694, 0.030, 103.810
 10,   407, 0.000, 35.000

Ten Fold with Depth 4, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   812, 0.460, 256.000
  1,  3123, 0.195, 255.527
  2,  5114, 0.369, 255.706
  3,  6592, 0.469, 256.000
  4,  8917, 0.226, 256.000
  5, 11413, 0.143, 256.000
  6, 12769, 0.059, 249.851
  7, 14740, 0.030, 244.277
  8, 17048, 0.024, 229.175
  9, 19065, 0.017, 107.478
 10,   407, 0.000, 42.000

Ten Fold with Depth 4, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   771, 2.890, 256.000
  1,  3130, 1.038, 256.000
  2,  4998, 0.402, 256.000
  3,  6717, 0.146, 256.000
  4,  8972, 0.076, 246.547
  5, 11394, 0.025, 232.407
  6, 13007, 0.046, 242.949
  7, 14776, 0.073, 240.595
  8, 16957, 0.018, 177.472
  9, 18880, 0.011, 78.278
 10,   398, 0.000, 37.000

Ten Fold with Depth 4, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   803, 2.924, 256.000
  1,  3111, 1.193, 256.000
  2,  4926, 0.694, 256.000
  3,  6734, 0.490, 256.000
  4,  8840, 0.253, 256.000
  5, 11372, 0.135, 256.000
  6, 12903, 0.087, 256.000
  7, 14765, 0.051, 252.835
  8, 17355, 0.024, 204.542
  9, 18792, 0.012, 68.539
 10,   399, 0.000, 37.000

Ten Fold with Depth 4, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   737, 3.496, 256.000
  1,  3296, 2.184, 256.000
  2,  5082, 1.095, 256.000
  3,  6717, 0.649, 256.000
  4,  9208, 0.359, 256.000
  5, 11334, 0.196, 256.000
  6, 12828, 0.115, 254.357
  7, 14676, 0.042, 239.254
  8, 16977, 0.038, 206.981
  9, 18758, 0.017, 77.258
 10,   387, 0.000, 38.000

Ten Fold with Depth 4, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   811, 3.061, 256.000
  1,  3168, 1.246, 256.000
  2,  5090, 0.678, 256.000
  3,  6658, 0.539, 256.000
  4,  8891, 0.329, 256.000
  5, 11545, 0.212, 256.000
  6, 12812, 0.124, 256.000
  7, 14762, 0.069, 245.074
  8, 17202, 0.025, 179.299
  9, 18667, 0.014, 46.319
 10,   394, 0.000, 35.000





Ten Fold with Depth 2, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   784, 0.840, 256.000
  1,  3227, 0.757, 256.000
  2,  5114, 0.621, 256.000
  3,  6427, 0.577, 256.000
  4,  8953, 0.450, 256.000
  5, 11420, 0.330, 256.000
  6, 12976, 0.234, 256.000
  7, 14745, 0.225, 256.000
  8, 17134, 0.112, 256.000
  9, 18839, 0.041, 237.886
 10,   381, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   807, 1.000, 256.000
  1,  3135, 0.890, 256.000
  2,  4990, 0.620, 256.000
  3,  6701, 0.372, 256.000
  4,  8970, 0.177, 256.000
  5, 11253, 0.087, 255.370
  6, 12695, 0.270, 256.000
  7, 14917, 0.332, 256.000
  8, 17247, 0.182, 256.000
  9, 18911, 0.062, 256.000
 10,   374, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   744, 1.000, 256.000
  1,  3093, 0.888, 256.000
  2,  5125, 0.620, 256.000
  3,  6693, 0.373, 256.000
  4,  8855, 0.174, 256.000
  5, 11420, 0.073, 254.809
  6, 12894, 0.050, 253.459
  7, 14970, 0.029, 213.189
  8, 17193, 0.036, 247.010
  9, 18619, 0.034, 234.300
 10,   394, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   773, 1.000, 256.000
  1,  3039, 0.613, 256.000
  2,  5105, 0.352, 256.000
  3,  6692, 0.211, 256.000
  4,  8900, 0.075, 254.297
  5, 11381, 0.108, 255.259
  6, 12917, 0.238, 256.000
  7, 14772, 0.214, 256.000
  8, 17330, 0.076, 251.218
  9, 18684, 0.023, 231.852
 10,   407, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   803, 1.000, 256.000
  1,  3222, 0.797, 256.000
  2,  5011, 0.550, 256.000
  3,  6711, 0.335, 256.000
  4,  9055, 0.228, 255.909
  5, 11333, 0.127, 256.000
  6, 12716, 0.053, 254.160
  7, 14733, 0.091, 255.901
  8, 17202, 0.029, 234.834
  9, 18795, 0.031, 233.784
 10,   419, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   798, 0.723, 256.000
  1,  3219, 0.555, 256.000
  2,  5027, 0.409, 256.000
  3,  6692, 0.253, 256.000
  4,  8835, 0.143, 256.000
  5, 11301, 0.065, 255.013
  6, 12885, 0.103, 255.556
